ID,StoreName,Address,Category,StoreType,State,CityCN,Country,PostalCode,City,Street,HouseNumber,Latitude,Longitude,DailySales,MonthlySales,DailyTraffic,TrafficLevel,MachineCount
149,BER-Billard House Friedrichshain,"Rudolfstraße 1-8, 10245 Berlin,Germany",Club,Club,柏林,柏林,Germany,10245,Berlin,Rudolfstraße,1,52.5044038,13.4522344,,,,,
150,FRA-K4 karaoke,"Hanauer Landstraße 5, 60314 Frankfurt am Main,Germany",Club,Club,黑森州,法兰克福,Germany,60314,Frankfurt am Main,Hanauer Landstraße,5,50.1136393,8.6960251,,,,,
151,FRA-Shi He,"Berner Str. 119, 60437 Frankfurt am Main,Germany",餐厅,社区商业中心,黑森州,法兰克福,Germany,60437,Frankfurt am Main,Berner Str.,119,50.1901049,8.6584662,,,,,
152,BER-Shifang House,"Rankestraße 32, 10789 Berlin,Germany",餐厅,市中心商圈,柏林,柏林,Germany,10789,Berlin,Rankestraße,32,52.5032295,13.3349112,,,,,
153,CGN-福馆China Fortuna Haus,"Andreaskloster 10, 50667 Köln,Germany",餐厅,热门打卡景点,北威州,科隆,Germany,50667,Köln,Andreaskloster,10,50.942213,6.955297,,,,,
154,MUH-Shao Xing (Asia Mongolei),"Weseler Str. 120, 45478 Mülheim an der Ruhr,Germany",餐厅,网红餐厅,北威州,锡根,Germany,45478,Mülheim an der Ruhr,Weseler Str.,120,51.4350815,6.8393623,,,,,
155,SGE-Dynasty Restaurant,"Weidenauer Str. 5, 57078 Siegen,Germany",餐厅,社区商业中心,北威州,米尔海姆,Germany,57078,Siegen,Weidenauer Str.,5,50.907234,8.0140597,,,,,
156,SOE-Asiapalast Soest,"Boleweg 7, 59494 Soest,Germany",餐厅,大型自助餐厅,北威州,索斯特,Germany,59494,Soest,Boleweg,7,51.5601899,8.0843299,,,,,
158,STR-Handy Station,"Stuttgarter Str. 4, 71032 Böblingen,Germany",Kiosk,Kiosk,巴符州,斯图加特,Germany,71032,Böblingen,Stuttgarter Str.,4,48.6860466,9.0158134,,,,,
162,STR-A-Z Handydoktor,"Kalter Markt 10, 73525 Schwäbisch Gmünd,Germany",Kiosk,Kiosk,巴符州,施瓦本格明德,Germany,73525,Schwäbisch Gmünd,Kalter Markt,10,48.8005707,9.8003546,,,,,
161,KAR-Asia Xiongdi Supermarket,"Fritz-Erler-Straße 1-3, 76133 Karlsruhe,Germany",KA商超,商超,巴符州,卡尔斯鲁厄,Germany,76133,Karlsruhe,Fritz-Erler-Straße,1,49.0090046,8.4104358,,,,,
160,KAR-China Restaurant Rui An,"Ebertstraße 17, 76135 Karlsruhe,Germany",餐厅,市中心商圈,巴符州,卡尔斯鲁厄,Germany,76135,Karlsruhe,Ebertstraße,17,48.9944841,8.3927285,,,,,
157,FRA-零點串吧,"Münchener Str. 46, 60329 Frankfurt am Main,Germany",餐厅,网红餐厅,黑森州,法兰克福,Germany,60329,Frankfurt am Main,Münchener Str.,46,50.1072181,8.6667903,,,,,
302,STR-Efes Kebaphaus Stuttgart,"Osterbronnstraße 82, 70565 Stuttgart,Germany",餐厅,网红餐厅,巴符州,斯图加特,Germany,70565,Stuttgart,Osterbronnstraße,82,48.7191517,9.1171728,,,,,
310,Phoenix Restaurant 凤凰城,"Kamp 30 -32,33098 Paderborn,Germany",餐厅,市中心商圈,北威州,帕德伯恩,Germany,33098,Paderborn,Kamp,30,51.7168375,8.7571906,,,,,
165,百味坊 Bai Wei Fang,"Friedrich-Ebert-Straße 53, 40210 Düsseldorf,Germany",餐厅,网红小吃店,北威州,杜塞尔多夫,Germany,40210,Düsseldorf,Friedrich-Ebert-Straße,53,51.2208889,6.7909507,,,,,
304,Red Sun Restaurant,"Am Königshof 6-8,
 40822 Mettmann,Germany",餐厅,大型自助餐厅,北威州,杜塞尔多夫,Germany,40822,Mettmann,Am Königshof,6,51.2497881,6.9769986,,,,,
185,Mongol Hann Kerpen,"Sindorfer Str. 9, 50171 Kerpen,Germany",餐厅,市中心商圈,北威州,凯尔彭,Germany,50171,Kerpen,Sindorfer Str.,9,50.874533,6.6921527,,,,,
164,Mongol Hann Düren,"Josef-Schregel-Straße 29, 52349 Düren,Germany",餐厅,大型自助餐厅,北威州,迪伦,Germany,52349,Düren,Josef-Schregel-Straße,29,50.809548,6.4793505,,,,,
163,Restaurant WanHao,"Neumühle 7, 41812 Erkelenz,Germany",餐厅,大型自助餐厅,北威州,Erkelenz 北威,Germany,41812,Erkelenz,Neumühle,7,51.0746817,6.3045173,,,,,
159,Chinakrone 皇冠大酒店,"Hagenauer Str. 40C, 65203 Wiesbaden,Germany",餐厅,大型自助餐厅,黑森州,wiesbaden,Germany,65203,Wiesbaden,Hagenauer Str.,40C,50.047703,8.2155575,,,,,
184,Kaisergarten,"Industriestraße 2, 52134 Herzogenrath,Germany",餐厅,大型自助餐厅,北威州,北威,Germany,52134,Herzogenrath,Industriestraße,2,50.8331131,6.0780136,,,,,
170,Chinarestaurant Shanghai 上海酒家,"Weichselstr 36 Ecke Frankfurter Allee/Weichselstr, 
Frankfurter Allee 90, 10247 Berlin,Germany",餐厅,网红餐厅,柏林,柏林,Germany,10247,Berlin,Frankfurter Allee,90,52.5138649,13.4708542,,,,,
169,Freestyle Burger & Pizza,"Seddiner Str. 8, 10315 Berlin,Germany",餐厅,车站餐厅,柏林,柏林,Germany,10315,Berlin,Seddiner Str.,8,52.5137512,13.5215447,,,,,
168,Wo Billard Treff 1,"Uhlandstraße 106, 10717 Berlin,Germany",Club,Club,柏林,柏林,Germany,10717,Berlin,Uhlandstraße,106,52.487797,13.3229117,,,,,
171,Wo Billard Treff 2,"Uhlandstraße 106, 10717 Berlin,Germany",Club,Club,柏林,柏林,Germany,10717,Berlin,Uhlandstraße,106,52.487797,13.3229117,,,,,
